Age,MonthlyIncome,JobLevel,YearsAtCompany,JobInvolvement,Attrition_Target,OverTime_Target,JobSatisfaction,PerformanceRating
34,6074,2,9,1,1,1,3,4
54,17328,4,5,4,0,1,4,3
24,2774,1,5,3,0,0,3,3
34,4505,2,1,2,0,0,2,3
37,7428,3,5,3,0,0,4,3
34,11631,3,11,2,0,0,1,3
36,9738,3,9,3,0,0,4,3
36,2835,1,1,3,0,0,4,4
43,16959,4,25,3,0,1,4,3
30,2613,1,10,1,0,0,3,4
33,6146,2,7,3,0,0,2,3
56,4963,1,5,3,1,1,2,3
51,19537,5,20,3,0,0,3,3
31,6172,2,7,1,1,1,3,3
26,2368,1,5,2,0,0,2,3
58,10312,3,40,3,1,0,4,3
19,1675,1,0,3,1,1,3,3
22,2523,1,2,3,0,0,4,3
49,6567,2,15,3,0,0,1,3
43,4739,1,3,4,0,0,3,3
50,9208,3,2,3,0,0,4,3
31,4559,2,2,1,1,1,3,3
41,8189,3,9,3,0,1,3,3
26,2942,1,8,3,0,0,3,4
36,4941,2,3,3,0,0,2,4
51,10650,3,4,1,1,0,4,3
39,5902,2,15,2,0,0,3,3
25,8639,2,2,2,0,0,3,3
30,6347,2,11,3,0,1,4,3
32,4200,1,5,3,1,0,1,4
45,3452,1,6,3,0,0,4,3
38,4317,2,3,3,0,1,3,4
30,2632,1,5,3,0,0,3,3
32,4668,2,8,1,0,0,4,3
30,3204,1,3,3,0,0,1,3
30,2720,1,5,2,0,0,4,3
41,17181,4,7,2,0,0,1,3
41,2238,1,5,3,0,0,1,4
19,1483,1,1,3,0,0,2,3
40,5605,2,20,3,0,0,2,3
35,7295,3,10,3,0,0,2,3
53,2306,2,7,3,0,1,3,4
45,2348,2,17,3,0,0,2,3
32,8998,3,9,3,0,0,4,3
29,4319,2,10,3,0,0,3,3
51,6132,2,1,2,0,0,3,3
58,3346,1,1,2,0,1,2,4
40,10855,3,12,2,0,0,4,3
34,2231,1,4,3,0,0,3,3
22,2323,1,2,3,0,0,4,4
27,2024,1,2,3,0,0,2,3
28,2713,1,5,3,0,0,4,3
57,9439,3,5,4,0,1,4,3
27,2566,1,1,2,0,1,3,3
50,19926,5,5,3,0,0,2,3
41,2451,1,9,3,0,0,3,3
30,9419,3,10,3,0,0,4,3
38,8686,2,8,2,0,0,4,4
32,3038,1,5,3,0,0,3,4
27,3058,1,5,3,0,1,2,3
19,2325,1,0,1,1,0,1,4
36,2088,1,8,3,0,0,2,3
30,3072,2,12,3,0,0,1,3
45,5006,2,5,3,0,1,1,3
56,4257,1,2,3,0,1,1,3
33,2500,1,3,3,0,0,4,3
19,1102,1,1,2,1,0,4,4
46,10453,3,24,3,0,0,1,4
38,2288,1,2,3,0,0,4,3
31,3929,1,4,3,0,1,4,4
34,2311,1,3,3,0,0,2,3
41,3140,1,4,3,1,1,2,4
50,3690,1,3,2,0,0,3,3
53,4450,2,4,4,0,0,1,3
33,2756,1,8,3,0,0,2,3
40,19033,5,20,3,0,0,3,3
55,18722,5,24,4,0,0,2,3
34,9547,2,10,2,0,0,3,3
51,13734,4,7,3,0,0,2,3
52,19999,5,33,2,0,0,3,3
27,2279,1,7,3,0,0,2,3
35,5916,2,1,2,1,1,3,3
43,2089,1,5,4,0,0,4,3
45,16792,4,20,2,0,0,4,4
37,3564,1,8,4,0,1,1,3
35,4425,2,6,3,0,0,2,3
42,5265,2,5,3,0,0,3,3
38,6553,2,1,3,0,0,3,3
38,6261,2,7,3,0,0,4,3
27,4298,2,2,2,0,0,1,3
49,6804,2,7,3,0,1,4,3
34,3815,1,5,3,0,1,3,3
40,2741,2,7,3,0,1,4,3
38,6673,2,1,3,1,1,1,3
29,7639,3,10,3,1,0,4,4
22,2328,1,4,4,0,1,2,3
36,2153,1,8,3,0,0,4,3
40,4876,2,3,2,0,0,4,3
46,9396,3,4,3,0,0,1,3
32,10400,3,14,1,1,0,4,3
30,8474,3,11,2,0,0,3,4
27,9981,2,7,3,0,0,3,3
51,12490,3,10,2,0,0,2,3
30,2657,1,5,3,1,1,1,3
41,13591,3,1,3,0,1,4,3
30,6696,2,6,2,1,0,1,3
29,2058,1,6,3,1,0,3,3
45,8865,3,19,2,0,0,4,3
54,5940,2,6,3,0,0,1,3
36,5914,2,13,3,0,0,2,3
33,2622,1,3,2,0,0,2,4
37,12185,3,10,3,0,1,4,3
38,10609,3,16,3,0,0,3,3
31,4345,2,5,1,0,0,3,3
59,2177,1,1,2,0,0,4,3
37,2793,1,9,3,0,0,4,3
29,7918,3,11,3,0,0,4,3
35,8789,3,10,3,0,0,3,3
29,2389,1,4,2,1,1,4,3
52,3212,1,2,2,0,0,4,3
42,19232,5,22,3,0,0,4,3
59,2267,1,2,3,0,0,3,3
50,19517,5,7,3,0,0,4,3
33,2436,1,5,3,1,1,4,3
43,16064,4,17,3,0,1,4,4
33,2707,1,9,3,1,0,1,4
52,19068,5,33,2,0,1,3,3
32,3931,1,4,3,0,0,2,3
32,3730,1,3,2,1,1,3,3
39,2232,1,3,3,0,0,3,3
32,4465,2,3,3,0,0,4,3
41,3072,2,1,3,0,0,1,3
40,3319,2,9,3,0,0,4,3
45,19202,5,24,4,0,0,4,3
31,13675,3,2,3,0,0,3,3
33,2911,1,2,2,0,0,4,3
34,5957,2,11,2,0,0,1,3
37,3920,1,3,2,0,0,1,3
45,6434,2,3,4,0,0,3,3
37,10048,3,1,3,1,0,3,3
39,10938,3,19,3,0,0,3,4
29,2340,1,6,3,0,0,4,3
42,6545,2,3,4,0,1,1,3
29,6931,2,3,3,0,0,4,3
25,4898,2,4,3,0,0,3,3
42,2593,1,9,2,0,1,1,3
40,19436,5,21,3,0,0,3,3
51,2723,1,1,3,0,0,4,3
31,3479,1,5,2,1,0,2,3
32,2794,1,5,4,0,0,2,4
38,5249,2,8,2,0,0,4,3
32,2176,2,6,2,0,0,1,3
46,16872,4,7,1,0,1,2,3
28,3485,1,0,3,1,0,3,3
29,6644,2,0,2,0,0,2,3
31,5582,2,9,2,0,0,4,4
25,4000,2,6,4,0,0,1,3
45,13496,4,20,3,0,1,4,3
36,3210,1,15,3,0,0,4,3
55,19045,5,36,3,0,1,1,3
47,11849,3,10,3,1,1,2,3
28,2070,1,5,3,0,0,4,4
37,6502,2,5,3,0,0,4,3
21,3230,1,3,2,0,0,3,3
37,13603,3,5,3,0,1,4,3
35,11996,3,7,4,0,0,2,3
38,5605,2,8,4,0,1,1,4
26,6397,2,6,3,0,0,2,4
50,19144,5,10,3,0,0,2,3
53,17584,4,5,3,0,1,3,3
42,4907,2,20,3,0,0,3,4
29,4554,2,10,3,0,0,4,3
55,5415,2,10,3,0,1,4,3
26,4741,2,5,3,0,1,1,3
37,2115,1,17,3,0,0,4,3
44,3161,1,1,3,1,1,3,4
38,5745,2,2,3,0,0,4,3
26,2373,1,3,3,1,1,2,3
28,3310,1,5,3,0,0,4,4
49,18665,5,3,3,0,1,1,3
36,4485,2,8,3,0,0,2,3
31,2789,1,2,3,0,0,2,3
26,5828,2,8,2,1,1,4,3
37,2326,1,4,3,0,1,4,3
42,13525,4,20,3,0,0,2,3
18,1420,1,0,3,1,0,3,3
35,8020,3,11,3,0,0,2,3
36,3688,1,1,4,0,0,4,3
51,5482,2,4,1,0,0,2,3
41,16015,4,22,3,0,0,2,3
18,1200,1,0,2,0,0,3,3
28,5661,2,8,4,0,0,1,3
31,6929,2,8,4,0,0,4,3
39,9613,3,18,4,0,0,4,3
36,5674,2,9,3,0,0,2,3
32,5484,2,13,2,0,0,3,3
38,12061,3,10,2,0,0,2,3
58,5660,2,5,1,0,1,3,3
31,4821,1,5,3,0,1,4,3
31,6410,2,2,2,0,0,1,3
45,5210,3,24,3,0,0,1,3
31,2695,1,2,3,0,1,4,3
33,11878,3,10,3,0,0,2,3
39,17068,4,21,3,0,1,1,3
43,2455,1,8,3,0,0,4,3
49,13964,4,7,2,0,1,3,3
52,4941,2,8,2,1,0,2,3
27,2478,1,4,3,0,1,2,3
32,5228,2,13,2,0,1,2,3
27,4478,2,5,3,0,1,3,3
31,7547,2,7,3,0,0,4,3
32,5055,2,7,4,0,0,4,3
28,3464,1,3,1,1,1,4,3
30,5775,2,10,3,0,0,4,3
31,8943,3,10,2,0,0,3,4
39,19272,5,21,2,0,0,4,3
39,5238,2,1,3,1,1,3,3
33,4682,2,7,2,0,0,4,3
47,18300,5,3,3,0,0,3,3
43,5257,2,9,2,0,0,3,3
27,6349,2,5,3,0,1,2,3
54,4869,2,4,3,0,0,3,3
43,9985,3,1,3,0,0,1,3
45,3697,2,10,3,0,0,4,3
40,7457,2,4,1,0,1,4,4
29,2119,1,7,1,1,1,1,3
29,3983,1,3,2,0,0,4,3
30,6118,2,10,2,0,0,3,3
27,6214,2,8,3,0,0,2,3
37,6347,2,6,3,0,0,4,3
38,11510,3,11,2,0,1,4,3
31,7143,3,11,3,0,1,4,3
29,8268,2,7,2,0,1,2,3
35,8095,3,16,3,0,0,2,3
23,2904,1,4,3,0,0,4,3
41,6032,2,5,2,0,1,2,3
47,2976,2,0,3,0,0,3,3
42,15992,4,1,3,0,0,4,3
29,4649,2,4,3,0,0,3,3
42,2696,1,3,3,0,1,3,3
32,2370,1,8,3,0,0,2,3
48,12504,3,0,3,0,0,3,4
37,5974,2,7,4,0,1,1,3
30,4736,2,2,3,0,1,3,3
26,5296,2,8,3,0,0,3,3
42,6781,2,1,2,0,0,4,4
21,2174,1,3,2,1,1,2,3
36,6653,2,1,3,0,0,4,3
36,9699,3,13,2,0,0,4,3
57,6755,2,3,3,0,0,3,3
40,2213,1,7,4,0,1,3,3
21,2610,1,3,3,0,0,4,4
33,2851,1,1,3,1,1,3,3
37,3452,1,5,3,0,0,1,4
46,5258,2,1,3,0,0,3,3
41,9355,2,8,3,1,0,2,3
50,10496,3,4,2,0,0,4,3
40,6380,2,6,2,1,1,3,3
31,2657,1,2,2,0,1,2,3
21,2716,1,1,4,1,0,2,3
29,2201,1,3,3,0,0,4,3
35,6540,2,1,2,0,0,2,3
27,3816,1,5,3,0,0,2,3
28,5253,2,7,3,0,0,4,3
49,10965,3,5,2,0,0,3,4
51,4936,2,7,3,0,0,4,3
36,2543,1,2,3,0,0,3,3
34,5304,2,5,4,1,1,4,3
55,16659,4,5,3,0,1,4,3
24,4260,2,5,3,0,1,3,3
30,2476,1,1,3,0,0,2,3
26,3102,1,6,3,1,0,1,4
22,2244,1,2,3,0,0,2,3
36,7596,3,10,2,0,0,3,3
30,2285,1,1,3,1,1,4,4
37,3034,1,18,3,0,0,1,3
40,5715,2,5,3,0,0,2,3
42,2576,1,5,3,0,0,1,3
37,4197,2,1,3,0,1,2,3
43,14336,4,25,2,0,0,2,3
40,3448,2,1,2,0,0,3,4
54,19406,5,4,3,0,0,1,3
34,6538,2,3,3,0,0,3,3
31,4306,2,13,3,0,0,1,3
43,2258,1,3,3,0,0,4,4
43,4522,2,5,3,0,1,3,3
25,4487,2,5,2,0,1,4,3
37,4449,2,13,3,0,1,3,3
31,2218,1,4,2,0,0,1,3
39,19197,5,21,3,0,1,3,3
56,13212,4,7,4,0,0,1,3
30,6577,2,5,3,0,0,3,3
41,8392,3,10,4,0,0,1,3
28,4558,2,10,3,0,0,1,3
25,4031,1,2,3,1,0,1,3
52,7969,3,5,2,0,1,3,3
45,2654,1,2,3,0,0,4,4
52,16555,4,5,3,0,0,4,3
42,4556,2,5,3,0,0,3,3
30,6091,2,5,1,0,0,4,4
60,19566,5,29,3,0,0,1,3
46,4810,2,10,3,0,0,3,3
42,4523,2,6,2,0,0,4,3
24,3202,1,5,3,1,1,2,3
34,2351,1,2,1,1,0,3,3
38,1702,1,1,3,0,1,4,4
40,18041,5,20,3,0,0,3,3
26,2886,1,3,3,0,0,4,4
30,2097,1,5,3,0,0,4,3
29,11935,3,10,2,0,0,3,3
29,2546,1,2,2,1,0,2,3
19,2564,1,1,2,1,0,4,3
30,8412,3,9,3,0,0,1,3
57,14118,4,1,2,0,0,4,3
50,17046,4,27,2,0,0,3,3
30,2564,1,11,3,0,0,4,3
60,10266,3,18,2,0,0,1,3
47,5070,2,5,3,0,0,4,3
46,17861,4,3,3,0,0,3,3
35,4230,1,5,1,0,0,3,3
54,3780,2,1,3,0,0,3,3
34,2768,1,7,2,0,0,3,3
46,9071,3,3,2,0,1,4,3
31,10648,3,13,3,0,0,2,4
33,13610,3,7,3,1,1,3,3
33,3408,1,4,1,1,0,4,3
30,2983,1,3,3,0,0,2,3
35,7632,3,8,3,0,1,3,3
31,9824,3,1,3,1,0,3,3
34,9950,3,3,3,1,1,1,3
42,2093,1,2,3,0,0,3,3
36,9980,3,10,3,0,0,4,3
22,3894,1,2,2,1,0,3,3
48,4051,2,9,3,0,0,4,3
55,16835,4,10,3,0,0,2,4
41,6230,2,14,3,0,0,4,3
35,4717,2,11,3,0,0,3,3
40,13237,4,20,3,0,0,3,3
39,3755,1,8,3,0,0,3,3
31,6582,2,6,3,0,1,4,3
42,7406,3,10,3,0,1,1,4
45,4805,2,8,3,0,0,2,3
26,2741,1,7,3,1,1,3,3
29,4262,2,3,3,0,0,4,3
33,16184,4,6,4,0,0,3,3
31,11557,3,5,2,0,0,4,4
18,1878,1,0,3,1,1,2,3
40,10932,3,1,1,0,0,1,3
41,6811,2,8,2,0,1,3,3
26,4306,2,0,3,0,0,3,3
35,4859,2,5,3,0,0,3,3
34,5337,2,10,4,0,0,4,3
26,2340,1,1,1,1,1,4,3
37,7491,3,6,3,0,0,4,3
46,10527,3,2,3,0,0,3,3
41,16595,4,18,3,0,0,1,3
37,8834,3,9,3,0,0,2,3
52,5577,2,10,3,0,1,1,3
32,4707,2,4,4,1,0,3,3
24,2400,1,2,3,0,0,4,3
38,9824,2,1,3,0,0,3,3
37,6447,2,6,3,0,0,2,3
49,19502,5,31,2,0,1,3,3
24,2725,1,6,4,0,1,4,3
26,6272,2,5,3,0,0,2,4
24,2127,1,1,2,0,0,2,4
50,18200,5,32,3,0,0,2,3
25,2096,1,7,3,0,0,3,3
24,2886,1,6,3,1,1,3,3
30,2033,1,1,2,1,0,1,3
34,3622,1,6,2,0,1,4,3
31,4233,2,3,3,1,0,1,3
35,3681,2,3,2,0,0,4,3
31,5460,2,7,4,0,0,4,4
27,2187,1,5,2,0,0,3,3
37,9602,2,3,3,0,1,3,3
20,2836,1,1,2,0,0,2,3
42,4089,2,10,3,0,0,4,3
43,16627,4,1,2,0,1,4,3
38,2619,1,0,3,0,0,1,3
43,5679,2,8,3,0,1,3,3
48,15402,4,3,2,0,0,1,3
44,5985,2,2,2,0,0,3,3
34,2579,1,8,3,0,1,3,3
27,3041,1,4,3,1,0,1,3
21,3447,1,3,3,0,0,3,3
44,19513,5,2,3,0,1,4,3
22,2773,1,2,3,0,0,3,4
33,7104,2,5,3,0,0,3,3
32,6322,2,6,3,0,1,4,3
30,2083,1,1,3,0,0,3,4
53,8381,2,14,3,0,0,1,4
34,2691,1,10,3,0,0,4,3
45,4286,2,1,3,1,0,1,3
26,2659,1,3,3,0,1,4,3
37,9434,3,10,3,0,0,3,3
29,5561,2,6,3,0,0,3,3
35,6646,2,17,1,0,0,4,3
33,7725,2,13,3,0,0,4,4
54,10725,3,9,3,0,0,2,3
36,8847,2,3,2,0,1,2,3
27,2045,1,4,2,0,0,4,3
20,1009,1,1,3,1,1,3,3
33,3348,1,10,3,1,1,1,3
35,1281,1,1,2,0,0,3,3
23,2819,1,3,4,0,0,1,3
25,4851,2,3,4,0,0,2,4
38,4028,2,7,2,0,0,4,4
29,2720,1,10,1,0,0,4,3
48,8120,2,2,4,0,0,2,3
27,4647,2,6,4,0,1,4,4
37,4680,1,1,4,0,0,4,3
50,3221,1,20,4,0,1,3,3
34,8621,3,8,2,0,0,2,3
24,4577,2,2,3,1,0,3,3
39,4553,2,20,2,0,0,3,3
32,5396,2,10,3,0,0,4,3
50,6796,2,4,3,1,1,3,3
38,7625,2,9,4,0,0,4,3
27,7412,3,9,3,0,0,1,3
32,11159,3,7,3,0,0,4,3
47,4960,2,7,3,0,0,1,3
40,10475,3,18,2,0,1,1,4
53,14814,4,5,4,0,0,3,3
41,19141,5,21,2,0,0,4,3
60,5405,2,2,3,0,0,1,3
27,8793,3,9,3,0,0,1,4
41,19189,5,22,2,0,0,3,3
50,3875,1,2,3,0,0,2,3
28,2216,1,7,1,1,1,2,3
36,11713,3,8,4,0,0,1,3
38,7861,3,1,3,0,1,3,3
44,3708,1,5,1,0,0,3,3
47,13770,4,22,3,0,1,3,3
30,5304,2,8,3,0,0,4,4
29,2642,1,1,3,0,0,3,3
42,2759,1,2,4,1,1,3,3
43,6804,2,2,2,0,0,4,3
34,6142,2,5,3,0,0,3,3
23,2500,1,4,3,0,0,1,3
39,6389,2,8,4,0,0,2,3
56,11103,4,10,3,0,0,4,3
40,2342,1,4,2,0,1,4,4
27,6811,2,7,2,0,0,1,3
29,2297,1,2,3,0,0,2,3
53,2450,2,2,3,0,0,4,3
35,5093,2,1,3,0,0,1,3
32,5309,2,10,3,0,0,4,3
38,3057,1,1,3,0,1,3,3
34,5121,2,0,3,0,0,1,3
52,16856,4,34,2,0,0,1,3
33,2686,1,10,3,1,1,4,3
25,6180,2,6,3,0,0,4,4
45,6632,2,8,1,0,0,3,3
23,3505,1,2,4,0,0,3,3
47,6397,2,5,4,1,1,3,3
34,6274,2,6,3,0,0,4,4
55,19859,5,5,3,1,1,1,3
36,7587,3,10,2,0,0,1,3
52,4258,1,4,3,0,0,4,3
26,4364,1,2,1,0,0,4,3
29,4335,2,8,3,0,0,3,3
26,5326,2,4,2,1,0,1,3
34,3280,1,4,4,0,0,4,3
54,5485,2,5,3,0,1,1,3
27,4342,2,4,3,0,0,4,3
37,2782,1,5,3,0,1,1,3
38,5980,2,15,4,0,1,1,3
34,4381,1,6,2,0,0,1,3
35,2572,1,3,3,0,0,4,3
30,3833,1,2,1,0,0,3,4
40,4244,2,8,4,0,0,2,4
34,6500,2,3,3,0,0,1,3
42,18430,5,24,3,0,0,4,3
23,1601,1,0,4,1,1,1,4
24,2694,1,1,2,0,0,2,3
52,3149,2,5,3,0,0,3,4
50,17639,4,4,3,0,0,3,3
29,2319,1,1,2,1,1,1,3
33,11691,3,13,3,0,0,3,3
33,5324,2,3,3,1,0,1,3
47,16752,4,26,3,0,1,4,3
36,5228,2,9,3,0,0,2,3
29,2700,1,10,4,0,0,3,4
58,19246,5,31,3,1,1,2,3
35,2506,1,2,4,0,0,3,3
42,6062,2,4,2,0,1,4,3
28,4382,1,2,3,1,0,3,3
36,2143,1,5,3,0,0,2,3
32,6162,2,14,2,0,0,3,3
40,5094,2,1,2,0,0,3,3
30,6877,2,0,2,0,1,4,4
45,2274,1,1,2,0,0,3,3
42,4434,2,9,3,0,0,2,3
38,6288,2,4,2,0,0,1,3
34,2553,1,5,2,0,0,4,3
49,7654,3,9,3,1,0,4,3
55,5160,2,9,3,1,0,4,3
43,17159,4,4,3,0,0,1,4
27,12808,3,9,2,0,1,4,3
35,10221,3,8,3,0,0,3,4
28,4779,2,8,3,0,1,2,4
34,3737,1,3,3,0,0,4,3
26,2366,1,8,2,1,1,3,3
27,1706,1,0,3,0,0,4,3
51,16307,4,20,3,0,0,3,3
44,5933,2,5,3,0,0,2,3
25,3424,1,4,4,0,0,1,3
33,4037,2,9,4,0,0,1,4
35,2559,1,6,2,0,0,1,3
36,6201,2,18,3,0,1,4,3
32,4403,2,5,3,0,0,4,3
30,3761,1,5,2,0,0,4,3
53,10934,3,5,2,0,1,4,3
45,10761,3,5,3,0,1,1,3
32,5175,2,5,4,0,0,3,3
52,13826,4,9,2,0,0,4,4
37,6334,2,1,2,0,0,3,3
28,4936,1,5,2,0,0,4,3
22,4775,2,2,2,0,0,4,4
44,2818,1,3,4,0,1,4,4
42,2515,1,2,3,0,1,4,3
36,2342,1,5,2,0,0,1,4
25,4194,2,5,3,0,1,1,3
35,10685,3,17,2,0,1,3,4
35,2022,1,10,3,1,1,2,3
32,2314,1,3,3,0,0,4,3
25,4256,2,5,2,0,0,1,3
49,3580,1,4,3,0,0,1,3
24,3162,1,5,2,0,0,4,3
32,6524,2,10,3,0,0,2,3
38,2899,1,2,2,0,0,2,3
42,5231,2,5,4,0,1,4,3
31,2356,1,6,3,0,1,4,3
29,2800,1,3,2,1,1,3,3
53,11836,4,2,3,0,0,4,3
35,10903,3,13,2,0,0,2,3
37,2973,1,5,3,0,0,4,3
53,14275,4,12,3,0,0,4,3
43,5562,2,5,3,0,0,4,3
47,4537,2,7,3,0,1,4,4
37,7642,3,10,3,0,1,2,3
50,17924,4,31,3,0,0,1,3
39,5204,2,5,2,0,0,4,3
33,2277,1,4,3,0,1,2,3
32,2795,1,1,3,1,1,4,4
29,2532,1,4,2,0,0,4,3
44,2559,1,8,3,0,1,1,3
28,4908,2,4,3,0,0,4,3
58,2380,1,1,2,1,1,4,3
43,4765,2,1,3,0,0,2,4
20,2044,1,2,2,1,0,3,3
21,2693,1,1,3,1,0,4,3
36,6586,2,16,3,0,1,4,3
47,3294,1,3,2,0,1,4,3
22,4171,2,3,3,1,1,3,3
41,2778,1,7,1,1,1,4,3
28,2377,1,2,3,0,0,3,3
39,2404,1,2,3,1,1,1,4
27,2318,1,1,3,0,0,3,3
34,2008,1,1,3,0,0,2,3
42,6244,2,5,2,0,0,3,3
33,2799,1,3,2,0,1,1,3
58,10552,3,6,2,0,1,2,3
31,2329,1,7,2,0,0,3,3
35,4014,2,10,3,0,1,4,4
49,7403,3,26,3,0,0,2,3
48,2259,1,0,3,0,0,3,3
31,6932,2,9,3,0,0,3,3
36,4678,1,6,3,0,0,4,3
38,13582,3,15,3,0,0,1,3
32,2332,1,3,2,0,0,2,4
25,2413,1,1,2,1,1,2,3
40,9705,3,1,2,0,0,2,3
26,4294,2,7,2,0,0,1,3
41,4721,1,18,3,0,1,1,3
36,2519,1,11,3,0,0,3,4
19,2121,1,1,2,1,1,2,3
20,2973,1,1,3,1,0,1,3
31,5855,2,9,3,0,1,4,3
40,3617,1,1,3,0,1,2,3
32,6725,2,8,3,0,0,1,3
36,10325,3,16,2,1,1,4,3
33,6949,2,5,2,0,0,4,3
37,10609,3,14,2,1,0,3,3
45,4447,2,9,3,0,0,2,3
29,2157,1,3,3,0,0,4,3
35,4601,2,5,3,0,0,3,3
52,17099,4,9,3,0,0,4,3
58,2479,1,1,3,1,0,3,4
53,14852,4,17,3,0,0,3,3
30,7264,3,8,3,0,0,3,3
38,5666,2,5,3,0,1,4,3
35,7823,3,10,3,0,0,4,3
39,7880,3,8,4,0,0,3,3
40,13194,4,1,4,1,1,2,3
47,5067,2,19,4,0,1,3,3
36,5079,2,7,3,0,0,4,3
31,2321,1,3,2,1,1,1,4
33,17444,4,10,3,0,0,3,3
29,2404,1,0,2,1,1,1,4
33,3452,1,3,3,0,0,4,3
45,2270,1,5,3,0,0,4,3
50,17399,4,5,3,0,0,4,4
33,5488,2,6,4,0,1,2,3
41,19419,5,18,3,0,0,3,3
27,2811,1,2,3,0,0,2,3
45,3633,2,9,3,0,1,1,3
47,4163,2,9,3,0,1,4,3
30,2132,1,5,3,1,1,3,3
50,13973,4,12,3,0,1,3,3
38,2684,1,2,3,0,0,3,3
46,10845,3,8,3,0,0,3,3
24,4377,2,4,2,0,0,3,3
35,3743,1,4,2,1,1,2,4
31,4148,2,4,3,0,0,1,3
18,1051,1,0,3,0,0,4,3
54,10739,3,10,3,0,0,3,3
